Name,Status,District,Population
Abiramam,Town Panchayat,Ramanathapuram,6638
Achampudur,Town Panchayat,Tirunelveli,12406
Acharapakkam,Town Panchayat,Kanchipuram,9023
Achipatti,Census Town,Coimbatore,7448
Adaikkakuzhi,Census Town,Kanniyakumari,7443
Adikaratti,Town Panchayat,The Nilgiris,16003
Adiramapattinam (Adirampattinam),Town Panchayat,Thanjavur,27657
Adiyanuthu,Census Town,Dindigul,11887
Aduthurai (Maruthuvakudi),Town Panchayat,Thanjavur,11479
Agaram,Town Panchayat,Dindigul,12784
Agastheeswaram,Town Panchayat,Kanniyakumari,8995
Alagappapuram (Azhagappapuram),Town Panchayat,Kanniyakumari,8121
Alamathi,Census Town,Thiruvallur,5812
Alamelumangapuram,Census Town,Vellore,5368
Alampalayam,Town Panchayat,Namakkal,15255
Alandur,Municipality,Kanchipuram,146287
Alanganallur,Town Panchayat,Madurai,11078
Alangayam,Town Panchayat,Vellore,16851
Alangudi,Town Panchayat,Pudukkottai,10761
Alangulam,Census Town,Virudhunagar,4969
Alangulam,Town Panchayat,Tirunelveli,17923
Alanthurai,Town Panchayat,Coimbatore,7130
Alapakkam,Census Town,Kanchipuram,5015
Allapuram,Town Panchayat,Vellore,26948
Alur (Aloor),Town Panchayat,Kanniyakumari,12379
Alwarkurichi,Town Panchayat,Tirunelveli,9459
Alwarthirunagiri,Town Panchayat,Thoothukkudi,8883
Amathur,Census Town,Virudhunagar,4163
Ambasamudram,Municipality,Tirunelveli,32739
Ambattur,Municipality,Thiruvallur,310967
Ambur,Municipality,Vellore,99624
Ammainaickanur,Town Panchayat,Dindigul,16604
Ammanur,Census Town,Vellore,4903
Ammapattinam,Census Town,Pudukkottai,7832
Ammapettai,Town Panchayat,Erode,9259
Ammapettai,Town Panchayat,Thanjavur,13901
Ammavarikuppam,Census Town,Thiruvallur,9384
Ammoor,Town Panchayat,Vellore,11296
Anaimalai,Town Panchayat,Coimbatore,16467
Anaiyur,Municipality,Madurai,38310
Anaiyur,Census Town,Virudhunagar,19898
Anakaputhur,Municipality,Kanchipuram,31918
Ananthapuram,Town Panchayat,Viluppuram,6138
Andankoil East,Census Town,Karur,19779
Andipalayam,Census Town,Tiruppur,11350
Andipatti Jakkampatti,Town Panchayat,Theni,23002
Anjugrammam (Anjugramam),Town Panchayat,Kanniyakumari,9353
Annalagraharam,Census Town,Thanjavur,6266
Annamalai Nagar,Town Panchayat,Cuddalore,10062
Annavasal,Town Panchayat,Pudukkottai,7657
Annur,Town Panchayat,Coimbatore,18052
Anthiyur,Town Panchayat,Erode,20071
Anuppankulam,Census Town,Virudhunagar,10990
Appakudal,Town Panchayat,Erode,9522
Arachalur,Town Panchayat,Erode,12343
Arakandanallur,Town Panchayat,Viluppuram,4405
Arakonam (Arakkonam),Municipality,Vellore,78686
Aralvaimozhi,Town Panchayat,Kanniyakumari,19211
Arani,Town Panchayat,Thiruvallur,12614
Arani (Arni),Municipality,Tiruvannamalai,60815
Aranthangi,Municipality,Pudukkottai,34134
Arasiramani,Town Panchayat,Salem,13815
Arasur,Census Town,Coimbatore,8689
Aravakurichi,Town Panchayat,Karur,11519
Aravankad (Aruvankadu),Township,The Nilgiris,5309
Arcot,Municipality,Vellore,49953
Arimalam,Town Panchayat,Pudukkottai,7819
Ariyalur,Municipality,Ariyalur,27822
Ariyappampalayam,Town Panchayat,Erode,12462
Ariyur,Census Town,Vellore,5404
Arumanai,Town Panchayat,Kanniyakumari,15071
Arumbanur,Census Town,Madurai,12547
Arumbavur,Town Panchayat,Perambalur,11695
Arumuganeri,Town Panchayat,Thoothukkudi,24856
Aruppukkottai,Municipality,Virudhunagar,84029
Asaripallam,Town Panchayat,Kanniyakumari,12755
Ashokapuram,Census Town,Coimbatore,9394
Athani,Town Panchayat,Erode,8423
Athanur,Town Panchayat,Namakkal,9377
Athimarapatti,Census Town,Thoothukkudi,18767
Athipatti,Census Town,Virudhunagar,6752
Athipattu,Census Town,Thiruvallur,8513
Athivilai,Census Town,Kanniyakumari,7690
Athur,Town Panchayat,Thoothukkudi,9464
Athur,Town Panchayat,Kanniyakumari,11744
Attayampatti,Town Panchayat,Salem,12698
Attur,Municipality,Salem,57519
Avadattur,Census Town,Salem,8976
Avadi,Municipality,Thiruvallur,229403
Avalapalli,Census Town,Krishnagiri,10342
Avalpoondurai,Town Panchayat,Erode,11243
Avanashi (Avinashi),Town Panchayat,Tiruppur,22336
Avaniapuram,Municipality,Madurai,53006
A. Vellalapatti (Vellalapatti),Town Panchayat,Madurai,7088
Ayacode,Census Town,Kanniyakumari,59012
Ayakudi,Town Panchayat,Dindigul,23370
Ayappakkam,Census Town,Thiruvallur,6529
Aygudi,Town Panchayat,Tirunelveli,12930
Ayothiapattinam,Town Panchayat,Salem,9941
